scoring,cv_cycle,AdaBoostRegressor,CatBoostRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
max_error,1,-259.5680801750233,-286.15383228680463,-83.70516051182162,-237.16070184469925,-226.54726856881706,-280.6536791482669,-1.3429257705865894e-12,-187.61278052213183,-277.73673339030427,-39.947661679198006,-338.2027368563599,-234.15528981966258
max_error,2,-406.908927201805,-432.49556199827884,-135.42917549059143,-436.24655900651777,-306.8459131287463,-444.6467465979851,-7.389644451905042e-13,-306.1733972494386,-382.93734771178896,-60.338114641130915,-444.4998165101384,-348.89052860862364
max_error,3,-97.58549844974581,-126.77962104614973,-29.167801196247808,-109.64116659082728,-274.02482384037114,-116.18615838693297,-1.0764722446765518e-12,-148.26396399240488,-124.37021205819997,-11.117012616677897,-148.2281480243934,-193.06187093846347
max_error,4,-165.27492452973917,-194.4281906734658,-77.18839293198809,-175.83568449687948,-230.89628724852238,-225.93683700980472,-5.684341886080801e-13,-177.8671660419052,-184.31575477175994,-25.17644408487385,-248.5415937799401,-320.6720501560477
max_error,5,-100.66546977418118,-105.00859304242681,-38.72699689311646,-164.55370390079344,-237.85085790594292,-162.40189183368193,-2.1316282072803006e-13,-133.22322229831934,-158.12852028608893,-19.237558355746152,-147.71655727868287,-185.03077118429212
max_error,6,-214.3870938433999,-177.9580447761773,-37.414742305513904,-156.64992862354075,-187.66729175215562,-131.5486635630357,-4.263256414560601e-13,-124.6495446321563,-209.51071296979234,-15.99695968068491,-179.10479344982275,-251.78852264913587
max_error,7,-288.20088850857695,-266.8038128048884,-75.78492564241697,-266.2541747074701,-227.51835756380916,-289.4149539939569,-6.252776074688882e-13,-230.79984356090029,-282.2100660941783,-40.80391733427149,-322.16323558931197,-192.93926015723258
max_error,8,-182.88064749715755,-197.20668431531874,-74.0024011219084,-170.16587201456778,-170.2617739885905,-202.56832955393767,-7.389644451905042e-13,-159.16619378224811,-189.03938804619045,-22.28832150385108,-240.2098950250966,-150.91157816435606
max_error,9,-150.9104644322672,-186.93042029443023,-46.73123004955464,-162.34407241704963,-221.21580600666772,-168.07505045730963,-1.0231815394945443e-12,-107.09641752396291,-187.0494716150523,-21.378999983329727,-194.8961278097656,-271.1766036924569
max_error,10,-399.9496347067957,-414.5659542234194,-109.65008504896053,-399.461706459294,-285.1098799513354,-444.6467465979851,-4.831690603168681e-13,-316.77357728952904,-394.12876386311046,-48.50699653496264,-444.5674335926716,-357.4794568312799
max_error,11,-152.38857857027085,-200.94239389888145,-82.9642386593209,-175.59900054864815,-130.38039947247864,-235.76095788530634,-4.831690603168681e-13,-206.30441991353433,-146.21391948127618,-24.04270480606843,-252.0050226345752,-63.94189765090633
max_error,12,-150.54865886776673,-179.79594642974436,-71.7936588018022,-127.81474231268457,-251.23749894395394,-156.47632699206596,-3.517186542012496e-13,-192.17661370237107,-191.45629087237188,-41.51511356002273,-178.71818906845587,-255.02196852152625
max_error,13,-235.78630646608593,-173.46858410180826,-39.06703692899652,-174.2743900942028,-144.5615129636798,-160.61394445379906,-5.968558980384842e-13,-131.88492931908783,-209.88775361624283,-15.065851792686146,-212.91342946281875,-206.92678030670936
max_error,14,-398.9662905548467,-420.5369782145679,-94.8848786158668,-346.7215609970665,-402.8637538167858,-384.32823250151796,-5.684341886080801e-13,-256.80124914372027,-378.0712083943998,-45.55790169251179,-415.48005499983117,-467.86302845603575
max_error,15,-242.05632324947493,-294.54909645288956,-88.46264743872518,-242.91403888811274,-252.66403054894656,-284.079137165835,-3.979039320256561e-13,-242.97523445173545,-290.4194334997668,-47.61875349547688,-338.1727972118587,-280.32245366853954
max_error,16,-174.21884987409584,-212.53741493887958,-88.92021054589063,-211.3675899476416,-253.19085438688037,-228.42015724068685,-2.5579538487363607e-13,-204.0225549553378,-199.95925762250494,-29.566385682508468,-261.45999837315367,-171.11412360305476
max_error,17,-273.11891256150295,-274.05024633018934,-75.5196242815307,-241.60717880882387,-225.24949416655528,-250.1997499810696,-9.450218385609332e-13,-265.86080918824945,-252.42943425163924,-41.882646564291974,-315.4459208104875,-245.804925134604
max_error,18,-183.4092709979905,-175.2412848068754,-66.26307687669393,-132.08286283476014,-175.95352777864952,-204.31229349175265,-2.5934809855243657e-13,-128.59034416128264,-180.19475278615602,-36.70452376400752,-216.5995390693467,-155.05850354064017
max_error,19,-344.08002167421535,-355.22343016429284,-105.1090180497182,-361.1087058234459,-244.58664460886536,-343.7201557166907,-9.094947017729282e-13,-258.55672802394406,-302.4105839341838,-41.89886659819308,-431.24261743087465,-272.1397122634088
max_error,20,-188.2027810486441,-233.1545938458576,-48.0314942266055,-147.64930519793114,-133.11975728541518,-260.26985753500406,-3.979039320256561e-13,-115.91584145463025,-159.79795317068968,-18.603821124344222,-280.78278985094084,-143.62440396812303
max_error,21,-270.1176749291827,-295.8566193715535,-111.4335268303154,-241.9772681696435,-266.3730765165159,-284.079137165835,-6.110667527536862e-13,-268.8324808853963,-280.2031427104889,-65.81341173185467,-331.8598252599675,-300.25700109285594
max_error,22,-134.323755925276,-149.40650391095204,-18.79498015652556,-96.92322671567527,-127.57770174339504,-173.23911881795527,-5.115907697472721e-13,-94.96648687283444,-109.53818337638094,-9.414013444583496,-183.45323819603564,-108.05656850926425
max_error,23,-335.25862076195773,-352.3840239999132,-111.77975275823093,-344.34585480637895,-287.9855273237748,-373.9373753657555,-4.547473508864641e-13,-224.1394813492785,-316.2081868226905,-49.309490202863174,-451.9080674520656,-317.6421536696588
max_error,24,-185.5919136845308,-227.72283810922704,-79.21853342236992,-213.6884672280405,-369.4686134222908,-235.07363743135286,-6.323830348264892e-13,-183.73443543153672,-199.99926546723435,-28.35885813143838,-261.51081315004694,-322.60362974589145
max_error,25,-184.13071468364018,-155.96621948124408,-58.2213258515994,-146.23045253920776,-179.07155292104144,-134.10209975263106,-3.410605131648481e-13,-147.1779891373841,-167.1965366764906,-26.16428157334545,-224.02487891485697,-257.80492095838974
max_error,mean,-228.7412121187269,-243.56667558072945,-73.93059658545246,-219.3047285989561,-232.48888823416746,-246.9876495456062,-5.981348749628524e-13,-192.5426281953328,-230.9365149395593,-33.052344423156924,-282.54830079206,-242.97152013164634
max_error,median,-188.2027810486441,-212.53741493887958,-75.78492564241697,-175.83568449687948,-230.89628724852238,-235.07363743135286,-5.684341886080801e-13,-187.61278052213183,-199.99926546723435,-29.566385682508468,-261.45999837315367,-251.78852264913587
max_error,std,89.54489322443085,91.08667509763436,28.648381367416313,91.11556100668524,67.7097576909054,91.83633998425938,2.7540086476892543e-13,62.41662366545515,78.87065052479322,14.925459878914769,94.82991727830165,87.37378981363406
neg_mean_absolute_error,1,-100.62712450985157,-118.42610188538427,-46.53849525562872,-95.94569533726698,-117.51747103962555,-140.77893147005986,-7.145395386487507e-13,-105.31568903889628,-107.87651725619683,-22.454575563298274,-146.34485747451532,-139.13678058861916
neg_mean_absolute_error,2,-163.7170443506281,-179.19541581368145,-51.13363425802833,-177.0358904460404,-158.50935871649313,-179.86310680651772,-2.3092638912203256e-13,-105.17317102153703,-163.50322222753945,-22.484464606741465,-198.02688048465868,-171.76296535468293
neg_mean_absolute_error,3,-62.523241032089885,-78.10490384456155,-14.120744165100621,-61.719467456041045,-135.52299424431882,-67.94962735801857,-6.266098750984384e-13,-67.8547209013916,-85.74588532793345,-5.5742273952568535,-78.44556619562353,-90.83603188290202
neg_mean_absolute_error,4,-69.79903751705415,-87.1308131525485,-34.10529614873367,-69.72414188474016,-103.15506965763407,-90.31723279435536,-1.5143442055887135e-13,-101.74341257512833,-75.90709017415847,-12.099270108853592,-96.29769467946309,-149.63511327428552
neg_mean_absolute_error,5,-54.642265250111585,-65.53791951057185,-18.43188281608821,-67.32766037294789,-59.87248766355165,-70.62516419340558,-1.1191048088221578e-13,-70.84048749732048,-53.779734481012554,-7.99710680139783,-82.15259420214409,-62.47827986482471
neg_mean_absolute_error,6,-81.62580679999346,-72.33104692669849,-22.991586129976533,-71.40741094097723,-85.93561668151676,-82.05258588678008,-1.3633538742396922e-13,-75.11785887896912,-72.4496092360699,-9.2427510143252,-83.27023335259972,-117.06174317592124
neg_mean_absolute_error,7,-125.57474632033653,-131.49396158081203,-22.91605773054414,-109.46426555929824,-129.14369777866278,-139.1087480532903,-3.019806626980426e-13,-95.07227529983972,-130.15036485377962,-11.548647657145754,-141.74847544280595,-124.46785134700764
neg_mean_absolute_error,8,-67.82376112174356,-84.05720145992805,-34.05816678437503,-70.85208502160675,-80.21565938778056,-94.13546207310574,-2.0605739337042905e-13,-66.5584243476116,-77.71134495482625,-11.626881590101105,-118.37575200852592,-68.10004682342752
neg_mean_absolute_error,9,-68.45801889137726,-69.99250160547956,-24.04332956982106,-53.57193997182296,-83.04733146121953,-88.43262703152564,-4.796163466380676e-13,-64.6095253095045,-58.92043824097249,-9.524271644733833,-97.16433514352543,-80.37416485175905
neg_mean_absolute_error,10,-154.88415712831426,-163.38101949487296,-40.40844453366455,-142.81163377086438,-115.5273746363289,-147.25673300323433,-1.8829382497642655e-13,-107.52727419492396,-158.9826827175208,-17.89781365652363,-176.8004866561076,-130.32267445439442
neg_mean_absolute_error,11,-66.70408342113146,-82.17452584247748,-38.45729909945407,-78.9556278749208,-65.3603599303895,-114.67066406522461,-1.3844481117075702e-13,-81.4425837824424,-72.14907019287546,-14.491625729633611,-100.3920041648181,-42.089118093624116
neg_mean_absolute_error,12,-81.6395186901263,-47.64658972993085,-31.357126633794916,-45.11294949714234,-89.7768275971651,-54.26090738932093,-1.7719159473017498e-13,-112.07884727014253,-68.35425228098737,-18.456618124466708,-65.6626073634845,-121.23343261356617
neg_mean_absolute_error,13,-72.47370840232892,-60.26734799484787,-19.96964244322385,-53.63172142941902,-79.80227910117878,-67.06370395761667,-2.042810365310288e-13,-57.030606844114445,-63.73212445307675,-7.766995622522403,-97.38278802615929,-63.14894487802924
neg_mean_absolute_error,14,-163.25948531100713,-160.47639154052376,-39.93618740949371,-147.63387081126365,-150.8450722984276,-160.83491875624918,-2.398081733190338e-13,-100.00575426614142,-149.56307285356056,-18.94644094045888,-189.6413582974668,-164.82586361625826
neg_mean_absolute_error,15,-116.27389416319028,-126.50372811368645,-33.28298510451281,-108.76644642314932,-99.34005261000988,-131.44671514642653,-1.4566126083082054e-13,-101.17480504548655,-113.77039208271961,-17.493762899596234,-158.48341525868545,-125.90435860138616
neg_mean_absolute_error,16,-74.96618286320594,-92.19573468222656,-40.06044210418129,-72.6437559364482,-121.34514827779242,-106.09290819199764,-1.3233858453531866e-13,-98.08544551656524,-88.19299730061068,-15.309728215804853,-110.64099843979703,-80.3143350754556
neg_mean_absolute_error,17,-91.53918240070648,-96.19605099989626,-23.139808309531972,-92.29516523241266,-76.41956957969379,-120.26116209662649,-3.277378368693462e-13,-79.28236210146574,-84.60077103126702,-11.633329161561527,-124.48994327076092,-91.38572325828162
neg_mean_absolute_error,18,-75.05154078552428,-68.12079498653088,-25.366678060256795,-59.60019970372731,-78.7680577911245,-91.18607471132981,-1.3211653993039363e-13,-66.66125699706222,-71.292408594591,-13.67092476431505,-97.51758586271848,-70.29980838931155
neg_mean_absolute_error,19,-123.13034898905909,-129.90877868266512,-40.985671621543375,-144.72086298138987,-125.94726694363756,-135.97852790289542,-4.489741911584133e-13,-94.98975973829825,-136.48065135866153,-18.84464510325614,-158.3741835580681,-140.68538870428839
neg_mean_absolute_error,20,-89.89824551426904,-81.99602932097649,-19.87937935043474,-71.26062379087927,-64.74643783381961,-90.4835492911784,-1.6231460620019789e-13,-64.24088728519398,-70.80684736107935,-8.607821508074704,-102.04750744775984,-89.13742003896924
neg_mean_absolute_error,21,-130.38582872804318,-134.50886069423578,-46.158032788533085,-123.40413247445363,-95.31407014296803,-134.5395239442292,-3.4572344986827375e-13,-98.45803302371696,-121.69004125559233,-26.98743911687184,-157.00710201065823,-97.07472478714347
neg_mean_absolute_error,22,-69.39552145024646,-53.577285074478525,-9.175917811844652,-47.87411152367457,-65.18005769684251,-82.762981584465,-2.4868995751603507e-13,-37.05065123191022,-51.906102410550076,-4.064552209932717,-88.92641761036751,-64.24594300653621
neg_mean_absolute_error,23,-181.02101292012662,-173.53642446751158,-46.98573259968952,-151.16847767885588,-170.4496160504418,-179.12585765942987,-1.91402449445377e-13,-97.23038946972721,-173.30712333109136,-20.974588043140926,-179.2029988309024,-194.5288665169477
neg_mean_absolute_error,24,-71.42251847178422,-84.99110601014587,-35.26240282955205,-82.94156323456019,-119.77950054311319,-72.9466367603513,-1.971756091734278e-13,-83.83356178047615,-80.43150971527326,-13.546161571563486,-107.04208958683944,-112.7340009629649
neg_mean_absolute_error,25,-66.95252679612788,-84.79960986048067,-21.687871870660324,-60.71013327564224,-107.0424493708265,-86.07084353500161,-1.5187850976872141e-13,-61.02757019396054,-95.61327397590722,-9.844001312318744,-79.06360650335803,-87.61291835385842
neg_mean_absolute_error,mean,-96.9515520731351,-101.06200573100612,-31.218112617146723,-90.42319330518181,-103.1425530813825,-109.12980774650543,-2.5565771721858257e-13,-83.69621414447307,-97.07670110671414,-14.043545774475815,-121.38005927487255,-107.17585994057781
neg_mean_absolute_error,median,-81.62580679999346,-84.99110601014587,-33.28298510451281,-72.6437559364482,-99.34005261000988,-94.13546207310574,-1.971756091734278e-13,-83.83356178047615,-84.60077103126702,-13.546161571563486,-107.04208958683944,-97.07472478714347
neg_mean_absolute_error,std,36.330123031785476,37.87476568180389,11.138813581153473,36.76277990959326,30.098072424742824,35.13584074128877,1.545276136887012e-13,19.293811020814637,35.67312488369748,5.701456150723752,38.10481348643014,38.08049912850888
neg_mean_absolute_percentage_error,1,-0.7814343998006349,-0.9644129409500648,-0.42635455279365386,-0.564409955587745,-1.2497258172246104,-1.854577363785129,-1.0287899554169497e-14,-1.3273109098556075,-0.8309729989026919,-0.21533337873341687,-0.9869883575929045,-2.195711079036447
neg_mean_absolute_percentage_error,2,-0.6853863672822946,-0.8024593510236142,-0.24187355138389807,-0.8174703838774939,-0.8637328405905272,-0.8807134856675609,-1.4691321686661532e-15,-0.40864410531733597,-0.7038923458421118,-0.10581477490882958,-0.99406977152349,-0.9150986282585396
neg_mean_absolute_percentage_error,3,-1.1377791015260272,-1.308740339008129,-0.29771140248091743,-0.9496400620294944,-2.659035861369227,-1.372528223153286,-1.424923138661434e-14,-1.0182498555969672,-1.7082269929677036,-0.12278598114729664,-1.0697402024223743,-2.4282363627484695
neg_mean_absolute_percentage_error,4,-2.296446968788173,-1.3770209303244805,-0.9242563508986736,-1.4744101921742438,-2.515751295987007,-1.8193077415320515,-2.266821453691138e-15,-2.884046030191419,-2.3952094957630465,-0.35402070473534397,-0.9761338474483775,-3.823709344019483
neg_mean_absolute_percentage_error,5,-0.7588659226361818,-1.029006780388707,-0.2996785664040581,-1.1078971908099655,-1.0468433508423498,-1.0187856145001906,-1.930556019876088e-15,-1.1121570210940979,-0.9860425485954015,-0.13303314824119766,-1.027370803764,-1.043525749407207
neg_mean_absolute_percentage_error,6,-1.1008011619866012,-1.0339942129084405,-0.3863599173206923,-0.9689384015663535,-1.8564732476855852,-1.7848445611522914,-2.67270773524051e-15,-1.480887789589619,-0.8881642636225668,-0.17247820562630042,-1.079725850922771,-2.695764959368585
neg_mean_absolute_percentage_error,7,-1.0779070840328604,-1.0777512152368138,-0.1765324989792273,-0.8077752212880316,-1.2455489237465796,-1.1150252248794363,-4.152379340009568e-15,-0.838727213526253,-1.0375722883078897,-0.09047339036317109,-1.0489865902256446,-1.1235796806235077
neg_mean_absolute_percentage_error,8,-0.934436683724339,-1.0449402063180862,-0.7052859079303386,-0.8519001490368954,-1.4264884950314454,-1.58383951441168,-4.248436173731555e-15,-1.1410586865876047,-0.8103724472839735,-0.26094637896695644,-1.21526079200982,-1.09669980513294
neg_mean_absolute_percentage_error,9,-0.9599151130143211,-0.7437507095033773,-0.3552891865509661,-0.6972961684251394,-0.9391565766660328,-1.0715890351515018,-6.08166089810765e-15,-0.8677517820126885,-0.7599434153754995,-0.15081279611367426,-1.2541700405763283,-0.9413438487447988
neg_mean_absolute_percentage_error,10,-1.518950803966832,-1.3416257589433327,-0.5947925704334458,-0.9122115525413684,-1.3261863512540086,-1.2967130617030418,-6.1827229870970115e-15,-0.901022664772476,-1.6651485438027493,-0.2646318489183979,-1.3005726100931765,-0.9219149604445909
neg_mean_absolute_percentage_error,11,-1.6542857912405564,-1.415621098180946,-1.1782175002335942,-1.5564355014730138,-1.6971362068179947,-1.4717466805208739,-2.7868324576881602e-15,-1.5673841724649464,-1.4387259427628356,-0.5205563247542728,-0.9000351746663737,-0.978970536129053
neg_mean_absolute_percentage_error,12,-1.6379007435286272,-0.5980338549232841,-0.65811188040498,-0.6682065935712147,-1.6081878316449434,-1.426214081141531,-4.629699421958796e-15,-2.5076485176610084,-1.1117948705257263,-0.43555097941919607,-1.1700488612082542,-2.353160153550297
neg_mean_absolute_percentage_error,13,-1.6656232740187593,-1.0392380367027818,-0.5824631932956893,-1.0091373307227052,-2.130916542164451,-1.007969507271821,-4.6419266789336856e-15,-1.425834477606816,-1.6675383070751604,-0.22682656550372543,-1.7480578835962328,-1.598917216704009
neg_mean_absolute_percentage_error,14,-1.015293676943206,-0.8790933778141793,-0.21813573003709594,-0.8823738005705823,-1.0122554347047812,-0.8733048054949495,-2.301565564451626e-15,-0.5504065456877163,-0.7778638686094865,-0.10918363703549867,-1.0190917677612386,-1.068094815870722
neg_mean_absolute_percentage_error,15,-0.7335484815617368,-0.8066725616056187,-0.24221875445800628,-0.737751206125572,-0.6802749655967982,-0.8428898782702337,-1.4355224284432616e-15,-0.696670527271841,-0.7227780713324535,-0.1281561891447002,-1.0037268884638872,-0.8537214086323359
neg_mean_absolute_percentage_error,16,-0.640619123968441,-0.8086824699623849,-0.5540704510529912,-0.573115560812467,-1.6769547757011019,-1.089186729730353,-2.2103633978325006e-15,-1.272751332001711,-0.7799068205881028,-0.23093915430799347,-1.055230755892969,-1.3019692357022583
neg_mean_absolute_percentage_error,17,-0.8745123123235345,-0.6708454789667808,-0.27711348405536484,-0.8399609315485704,-0.7327360321339608,-1.3086314737989078,-5.528712557635628e-15,-0.7530991936367525,-0.6384092952914954,-0.13269920671899677,-0.9003510684126385,-0.7782162706883904
neg_mean_absolute_percentage_error,18,-1.338901719606901,-0.9901840781936972,-0.9660455461600717,-1.2027328083588191,-1.5999129222015447,-1.3205986397103384,-2.98102356754392e-15,-1.6344070464265401,-1.3379631523758522,-0.5431713182065866,-0.9250524176812431,-2.5721974345117578
neg_mean_absolute_percentage_error,19,-0.5809289485318005,-0.9196875483743604,-0.3855741042558903,-1.2379800992910075,-1.3994764835055402,-1.5136787231356084,-9.645160873722966e-15,-0.7980141006613353,-1.1305054214149872,-0.21780185812402214,-1.1037031736714857,-1.4701805978648657
neg_mean_absolute_percentage_error,20,-1.4685603472673199,-0.8080228291923991,-0.38998892822540976,-0.906871177413635,-1.4436712015390076,-1.2035185101487662,-2.9967217663898577e-15,-1.13131620968261,-1.0322257685755223,-0.162033136908903,-1.1348967193822932,-1.8237296086955577
neg_mean_absolute_percentage_error,21,-1.551405788882831,-1.302925882276583,-1.188094329439588,-1.1346294669347783,-0.9092709761370075,-1.575672389292715,-1.0215092340056826e-14,-1.4874612274403771,-1.3353614981365869,-0.745240829222284,-0.9231800815179069,-0.5957312202123298
neg_mean_absolute_percentage_error,22,-1.022620761425097,-0.48442567797822406,-0.1986094061177536,-0.64018530680597,-1.5364796232605717,-0.9627952592181273,-4.56189865147799e-15,-0.5589112687723714,-0.8771660051964315,-0.1003195599337002,-0.9787736856316649,-1.3033369636155827
neg_mean_absolute_percentage_error,23,-1.8760773817871759,-1.5789248369841515,-0.4701283567210749,-1.4924990075012796,-2.106661802427609,-1.8465141139610879,-2.0697179308331645e-15,-0.8890367464194698,-1.9613882396893747,-0.22195907883742216,-1.2519145348613026,-2.1220944036167726
neg_mean_absolute_percentage_error,24,-1.057988556306222,-0.8642121368656938,-0.693994665852519,-1.2122107389361552,-2.3544035786479345,-1.0664122165446164,-7.114822741344044e-15,-1.4823310002028856,-1.2418644935248007,-0.2841795735034855,-1.126999406670462,-2.2001226307364043
neg_mean_absolute_percentage_error,25,-1.4380843715083838,-1.6326474423748825,-0.39578183951372514,-1.3079058370468561,-2.267377719796044,-1.5872395703684843,-2.819152853939217e-15,-1.0409032699776315,-2.152674828554516,-0.17362076935529114,-0.9991172781931003,-2.1081608413530146
neg_mean_absolute_percentage_error,mean,-1.1923309954263543,-1.0209167902000404,-0.512267306999985,-0.9821577857779742,-1.5313863542670665,-1.3157718561817833,-4.7791904379782065e-15,-1.1910412677783233,-1.1996684769646786,-0.2441027515492265,-1.0877279425675974,-1.6125675102267167
neg_mean_absolute_percentage_error,median,-1.0779070840328604,-0.9901840781936972,-0.39578183951372514,-0.9122115525413684,-1.4436712015390076,-1.3086314737989078,-4.152379340009568e-15,-1.1121570210940979,-1.0375722883078897,-0.21533337873341687,-1.0489865902256446,-1.3033369636155827
neg_mean_absolute_percentage_error,std,0.4262811802014925,0.293043621843956,0.287424362846661,0.28001169595695796,0.5515153211959724,0.3149783044720554,3.218705967987942e-15,0.5570092992836312,0.4751892467198153,0.15881841926938323,0.17394153879588906,0.7717948767732674
neg_mean_squared_error,1,-16426.974547203623,-22625.18514663892,-3021.78943653659,-15257.76106638182,-20381.59543457165,-26200.659332035153,-7.132328102374734e-25,-12584.487648088067,-18922.72643853043,-708.3068579578523,-33003.063880810456,-23149.489153974646
neg_mean_squared_error,2,-45757.481761093106,-51461.278173122264,-4300.652499635652,-49694.92561953078,-33401.84284381682,-50973.600375106,-9.76925345025701e-26,-21047.77233673523,-44709.40288991596,-842.1702053471699,-55116.51181220182,-39640.51230275396
neg_mean_squared_error,3,-4700.368798978769,-7366.801950100819,-272.68384438017586,-5114.62007500536,-24512.357063211493,-5687.075709440469,-5.244994163851568e-25,-6449.874693952311,-8146.284990922383,-45.09102555363534,-8621.65624072326,-12054.537329225815
neg_mean_squared_error,4,-8088.119297972875,-12048.43280833066,-1679.3296772278093,-8266.958378138406,-14929.07735542185,-12162.42455219138,-5.304064068434517e-26,-11980.370531605637,-8867.828997551816,-210.8616714759367,-16263.800025426957,-34221.51777081913
neg_mean_squared_error,5,-4047.748505247616,-4775.242422314878,-504.9228821471207,-6167.714678171736,-8443.726380160828,-6552.494460808178,-1.5360699546463542e-26,-6252.565587768435,-4779.985689267196,-101.61630936129819,-8529.044770715727,-7176.43377764728
neg_mean_squared_error,6,-10026.585330268801,-7561.151516306658,-615.8538665088872,-7621.469013926042,-10992.271774111303,-7693.033921027487,-3.5027001913623366e-26,-6284.012126322732,-10449.991972858854,-98.008975743299,-9637.207830876003,-21339.79014306276
neg_mean_squared_error,7,-23594.825509138707,-23535.35713733551,-985.7141282193963,-18176.656626243777,-20051.315345690935,-26696.733198947997,-1.2162341892335472e-25,-12577.351155910295,-24054.140020461986,-270.5429574948632,-28033.77804595541,-19014.736309059546
neg_mean_squared_error,8,-8146.78497612466,-11259.597666632937,-1525.9504118923353,-8668.182685852538,-10108.11900970338,-12751.417925283047,-9.157412932167593e-26,-6060.284987293743,-10039.352957222633,-172.94341567838546,-20818.79550733392,-6988.920082585442
neg_mean_squared_error,9,-8057.385442966912,-7862.101639954904,-764.6149471375697,-5535.620805478085,-11100.672198435681,-11280.278070619665,-3.3494402946959984e-25,-5308.074378018679,-7022.436181037435,-130.48701318463316,-11669.39369708268,-12252.959083789367
neg_mean_squared_error,10,-38429.745340023,-42784.759809443596,-2680.392196252145,-36358.119096736205,-20358.70997745505,-41603.73234861171,-5.608169947397217e-26,-20344.490162993607,-39735.64534430789,-533.09526219959,-50794.78200714714,-34233.1022154104
neg_mean_squared_error,11,-6142.118060524852,-10189.137070010114,-1958.3293869746615,-9590.634051162433,-6252.407002549786,-17636.584928707867,-3.881521058810782e-26,-9498.243528788229,-7717.882667320549,-253.65112698910298,-17261.549356199564,-2279.827722360133
